,number,value,datetime_start,datetime_complete,duration,params_ch1,params_ch2,params_ch3,params_lr,params_weight_decay,state
0,0,0.102,2025-10-28 02:32:52.333735,2025-10-28 02:34:06.139599,0 days 00:01:13.805864,64.0,128.0,64.0,2.963907123189894e-09,0.0009957427844339566,COMPLETE
1,0,0.728,2025-10-28 02:04:30.423897,2025-10-28 02:06:14.314954,0 days 00:01:43.891057,32.0,128.0,128.0,0.0006854573092230387,0.00030500495591096225,COMPLETE
2,1,0.738,2025-10-28 02:06:14.327633,2025-10-28 02:06:55.775207,0 days 00:00:41.447574,16.0,128.0,32.0,0.00047884168572420927,0.00011767967527557798,COMPLETE
3,2,0.72,2025-10-28 02:06:55.785305,2025-10-28 02:07:37.426302,0 days 00:00:41.640997,16.0,128.0,32.0,0.0004204051311962294,1.3979502859457516e-05,COMPLETE
4,3,0.749,2025-10-28 02:07:37.436458,2025-10-28 02:08:20.845618,0 days 00:00:43.409160,32.0,128.0,32.0,0.0012884258508192147,3.635299599262735e-06,COMPLETE
5,4,0.668,2025-10-28 02:08:20.856202,2025-10-28 02:08:50.511641,0 days 00:00:29.655439,64.0,32.0,32.0,0.00014472026637286,1.2202005933144393e-05,COMPLETE
6,5,0.741,2025-10-28 02:08:50.522437,2025-10-28 02:09:34.071629,0 days 00:00:43.549192,32.0,128.0,32.0,0.0030834283424760163,4.578181121964332e-05,COMPLETE
7,6,0.682,2025-10-28 02:09:34.081676,2025-10-28 02:10:05.242108,0 days 00:00:31.160432,32.0,64.0,32.0,0.00746882127436437,8.471804429744102e-05,COMPLETE
8,7,0.655,2025-10-28 02:10:05.253556,2025-10-28 02:11:00.831737,0 days 00:00:55.578181,64.0,128.0,64.0,0.004101359178480288,0.0001234082338233831,COMPLETE
9,8,0.279,2025-10-28 02:11:00.843043,2025-10-28 02:11:16.782852,0 days 00:00:15.939809,16.0,32.0,64.0,0.006667488384821749,0.0005092584829725582,COMPLETE
10,9,0.674,2025-10-28 02:11:16.793864,2025-10-28 02:11:48.200493,0 days 00:00:31.406629,64.0,32.0,64.0,0.0029182367603437435,6.245993165819826e-06,COMPLETE
11,10,0.716,2025-10-28 02:11:48.213617,2025-10-28 02:12:23.656408,0 days 00:00:35.442791,32.0,64.0,128.0,0.0013913680246503896,1.0002509598378876e-06,COMPLETE
12,11,0.744,2025-10-28 02:12:23.666999,2025-10-28 02:13:08.109675,0 days 00:00:44.442676,32.0,128.0,32.0,0.0019006090381892236,2.1809278932341136e-06,COMPLETE
13,12,0.753,2025-10-28 02:13:08.120071,2025-10-28 02:13:52.459706,0 days 00:00:44.339635,32.0,128.0,32.0,0.0014360039615385742,1.3236920731350722e-06,COMPLETE
14,13,0.773,2025-10-28 02:13:52.470350,2025-10-28 02:14:36.748289,0 days 00:00:44.277939,32.0,128.0,32.0,0.00093311369511967,3.502723523453506e-06,COMPLETE
15,14,0.728,2025-10-28 02:14:36.758819,2025-10-28 02:15:26.663588,0 days 00:00:49.904769,32.0,128.0,128.0,0.0002135329804458218,1.3568832015453251e-06,COMPLETE
16,15,0.733,2025-10-28 02:15:26.673767,2025-10-28 02:15:58.289188,0 days 00:00:31.615421,32.0,64.0,32.0,0.0007740405029489245,5.279822956293771e-06,COMPLETE
17,16,0.721,2025-10-28 02:15:58.299632,2025-10-28 02:16:42.744329,0 days 00:00:44.444697,32.0,128.0,32.0,0.00025886362950564983,1.8928191374043314e-05,COMPLETE
18,17,0.742,2025-10-28 02:16:42.754582,2025-10-28 02:17:27.365369,0 days 00:00:44.610787,32.0,128.0,32.0,0.0018507150744467727,2.5640408969483415e-06,COMPLETE
19,18,0.754,2025-10-28 02:17:27.375296,2025-10-28 02:18:06.147198,0 days 00:00:38.771902,64.0,64.0,64.0,0.0008661391976739034,5.8427298206658324e-06,COMPLETE
20,19,,2025-10-28 02:20:02.821146,2025-10-28 02:20:02.831723,0 days 00:00:00.010577,,,,,,FAIL
21,20,,2025-10-28 02:20:24.404448,2025-10-28 02:20:24.416570,0 days 00:00:00.012122,,,,,,FAIL
