trial,ch1,ch2,ch3,lr,weight_decay,val_acc,train_accs,val_accs,lrs,runtime
0,64,128,64,2.963907123189894e-09,0.0009957427844339566,0.102,"[0.09840816326530612, 0.10010204081632654, 0.10042857142857142]","[0.102, 0.102, 0.102]","[2.963907123189894e-09, 2.891375153196633e-09, 2.6808791777997397e-09]",73.69677543640137
0,16,64,32,0.002245143659704595,2.075612963823467e-06,0.738,"[0.46848979591836737, 0.563795918367347, 0.6091632653061224, 0.6365918367346939, 0.6487551020408163, 0.6371836734693878, 0.693204081632653, 0.7046326530612245, 0.7097142857142857, 0.715469387755102]","[0.498, 0.567, 0.64, 0.673, 0.665, 0.687, 0.717, 0.723, 0.738, 0.737]","[0.002245143659704595, 0.0021902010836426997, 0.002030751517609388, 0.0017824029960784534, 0.0014694656026832393, 0.0011225718298522975, 0.0007756780570213558, 0.00046274066362614173, 0.000214392142095207, 5.494257606189561e-05]",84.0621018409729
1,64,64,128,0.00806987167087246,2.658116167982061e-06,0.096,"[0.10008163265306122, 0.10034693877551021, 0.10036734693877551]","[0.096, 0.083, 0.082]","[0.00806987167087246, 0.007872387854560686, 0.0072992674975166155]",12.294503688812256
2,16,64,128,0.00839238765694494,5.328939551394789e-05,0.24,"[0.1916122448979592, 0.21951020408163266, 0.22783673469387755, 0.21906122448979592]","[0.197, 0.24, 0.23, 0.231]","[0.00839238765694494, 0.00818701131267872, 0.0075909859473979715, 0.0066626546766092795]",13.009801864624023
3,32,64,32,0.000953829257314703,1.8407418942477665e-05,0.734,"[0.5170204081632653, 0.5901020408163266, 0.6266734693877551, 0.6429795918367347, 0.6654489795918367, 0.6641428571428571, 0.7080408163265306, 0.7176326530612245, 0.7231020408163266]","[0.543, 0.611, 0.661, 0.671, 0.701, 0.688, 0.734, 0.729, 0.717]","[0.000953829257314703, 0.000930487393958409, 0.0008627466681071661, 0.000757238013984684, 0.0006242893537784904, 0.0004769146286573515, 0.0003295399035362126, 0.00019659124333001906, 9.108258920753687e-05]",27.257841110229492
4,64,32,64,0.008161026996479174,3.838686992727184e-05,0.217,"[0.20173469387755102, 0.2007551020408163, 0.218734693877551]","[0.217, 0.214, 0.216]","[0.008161026996479174, 0.007961312450570678, 0.007381718264091779]",9.284854173660278
5,32,128,128,0.0003721973361541358,0.00012816317767906695,0.731,"[0.5225102040816326, 0.6021020408163266, 0.6157142857142858, 0.6613877551020408, 0.6834285714285714, 0.6786326530612244, 0.7120408163265306, 0.720469387755102, 0.7335102040816327, 0.7346938775510204]","[0.556, 0.642, 0.662, 0.699, 0.701, 0.707, 0.722, 0.722, 0.728, 0.731]","[0.0003721973361541358, 0.0003630890190256122, 0.0003366556531819583, 0.0002954847206440404, 0.00024360631914342436, 0.00018609866807706786, 0.0001285910170107114, 7.671261551009533e-05, 3.554168297217746e-05, 9.108317128523603e-06]",48.37827181816101
6,64,32,128,0.00012732707753028427,1.5675546544811408e-06,0.68,"[0.48506122448979594, 0.5308367346938776, 0.5862244897959183, 0.5976122448979592, 0.6180204081632653, 0.6304897959183674, 0.6447142857142857, 0.6495918367346939, 0.6519795918367347, 0.6544897959183673]","[0.491, 0.549, 0.634, 0.615, 0.642, 0.656, 0.669, 0.675, 0.675, 0.68]","[0.00012732707753028427, 0.0001242111621581397, 0.00011516842354819038, 0.00010108402796004286, 8.333665416561931e-05, 6.366353876514214e-05, 4.3990423364664964e-05, 2.6243049570241428e-05, 1.2158653982093898e-05, 3.1159153721445953e-06]",34.36969256401062
7,64,32,32,0.00012498477321010304,0.0006522843340389398,0.652,"[0.4533877551020408, 0.512734693877551, 0.5422653061224489, 0.571530612244898, 0.5899795918367347, 0.6073469387755102, 0.6183469387755102, 0.6218979591836735, 0.628265306122449, 0.6277551020408163]","[0.479, 0.547, 0.565, 0.598, 0.629, 0.641, 0.651, 0.652, 0.649, 0.649]","[0.00012498477321010304, 0.00012192617810462173, 0.00011304978938758752, 9.922448983206049e-05, 8.180359608506175e-05, 6.24923866050515e-05, 4.318117712504127e-05, 2.5760283378042546e-05, 1.1934983822515518e-05, 3.058595105481304e-06]",31.056424856185913
8,16,128,128,0.0098597171478638,3.26359453926315e-05,0.186,"[0.18051020408163265, 0.18785714285714286, 0.19136734693877552, 0.1886734693877551, 0.20679591836734693, 0.20618367346938776]","[0.147, 0.159, 0.174, 0.186, 0.179, 0.166]","[0.0098597171478638, 0.009618432695083367, 0.00891819794010785, 0.007827556739576674, 0.0064532686531419, 0.0049298585739319]",28.063480377197266
