trial,ch1,ch2,ch3,lr,weight_decay,val_acc,train_accs,val_accs,lrs,runtime
0,32,64,128,0.0003408458641031711,3.366213012515802e-06,0.714,"[0.5116734693877552, 0.5847346938775511, 0.6045714285714285, 0.6180816326530613, 0.6558775510204081, 0.6677142857142857, 0.6859591836734694, 0.6860408163265306, 0.6987551020408164, 0.7014897959183674]","[0.538, 0.606, 0.651, 0.663, 0.674, 0.685, 0.7, 0.705, 0.708, 0.714]","[0.0003408458641031711, 0.0003325047721053722, 0.0003082979803125252, 0.0002705950181639498, 0.00022308651428673242, 0.00017042293205158556, 0.00011775934981643871, 7.025084593922136e-05, 3.254788379064594e-05, 8.341091997798936e-06]",87.43392372131348
1,16,64,32,0.00013997731235327555,2.4649537640195484e-06,0.647,"[0.45479591836734695, 0.5019795918367347, 0.5466734693877551, 0.5768979591836735, 0.5955918367346938, 0.6055510204081632, 0.6102857142857143, 0.6153061224489796, 0.6196122448979592, 0.6203469387755102]","[0.476, 0.529, 0.584, 0.613, 0.624, 0.616, 0.639, 0.638, 0.643, 0.647]","[0.00013997731235327555, 0.0001365518237001702, 0.00012661066843700286, 0.00011112695610503396, 9.161634034868398e-05, 6.998865617663777e-05, 4.836097200459157e-05, 2.885035624824159e-05, 1.336664391627269e-05, 3.425488653105373e-06]",28.096389293670654
2,64,128,128,0.0024733299460407204,0.00033407471001021914,0.602,"[0.24289795918367346, 0.33891836734693875, 0.40885714285714286, 0.44079591836734694, 0.4850204081632653, 0.5277755102040816, 0.5386938775510204, 0.5241836734693878, 0.5709183673469388, 0.5893265306122449]","[0.226, 0.327, 0.408, 0.44, 0.488, 0.526, 0.557, 0.516, 0.57, 0.602]","[0.0024733299460407204, 0.002412803254085344, 0.0022371479525420675, 0.001963558406188397, 0.0016188154660318871, 0.00123666497302036, 0.000854514480008833, 0.0005097715398523233, 0.00023618199349865302, 6.052669195537639e-05]",52.88595747947693
3,32,128,64,0.0001357842118020605,2.5216030095136276e-06,0.692,"[0.4906938775510204, 0.5651836734693878, 0.5904081632653061, 0.6160204081632653, 0.6342448979591837, 0.6482653061224489, 0.6653877551020408, 0.6641020408163265]","[0.484, 0.581, 0.639, 0.646, 0.657, 0.692, 0.691, 0.688]","[0.0001357842118020605, 0.00013246133562320572, 0.00012281797335886736, 0.0001077980844967346, 8.887192040835223e-05, 6.789210590103023e-05, 4.691229139370824e-05, 2.798612730532588e-05]",33.67424988746643
4,16,32,32,0.006587930276344886,9.545123255107206e-05,0.664,"[0.35385714285714287, 0.4256326530612245, 0.46851020408163263, 0.5145510204081633, 0.5368775510204081, 0.5757551020408164, 0.5963877551020408, 0.609265306122449, 0.6306938775510204, 0.6348163265306123]","[0.37, 0.418, 0.475, 0.52, 0.56, 0.593, 0.622, 0.623, 0.652, 0.664]","[0.006587930276344886, 0.006426712147280411, 0.005958838913832571, 0.005230109267955744, 0.00431185634474635, 0.003293965138172443, 0.0022760739315985366, 0.0013578210083891428, 0.0006290913625123151, 0.00016121812906447533]",24.741488456726074
5,64,64,128,0.0009784476865376378,2.1390724119521798e-06,0.724,"[0.4493061224489796, 0.5144693877551021, 0.5846530612244898, 0.6103877551020408, 0.6441020408163265, 0.6638367346938776, 0.6786122448979592, 0.6934285714285714, 0.7051836734693877, 0.7081020408163266]","[0.469, 0.539, 0.606, 0.651, 0.651, 0.7, 0.689, 0.724, 0.714, 0.718]","[0.0009784476865376378, 0.0009545033673365881, 0.0008850142465267191, 0.000776782403412075, 0.0006404023248923097, 0.0004892238432688189, 0.0003380453616453282, 0.0002016652831255629, 9.343344001091873e-05, 2.39443192010498e-05]",38.13622760772705
6,64,128,32,0.00018673791375694676,0.0004767164054094653,0.713,"[0.4901632653061225, 0.5816938775510204, 0.5885510204081633, 0.6185306122448979, 0.6453265306122449, 0.6526734693877551, 0.681734693877551, 0.6872244897959183, 0.6950408163265306]","[0.508, 0.608, 0.587, 0.648, 0.667, 0.68, 0.713, 0.708, 0.703]","[0.00018673791375694676, 0.0001821681117374267, 0.00016890602974022, 0.00014824985275357192, 0.00012222155130098332, 9.33689568784734e-05, 6.451636245596348e-05, 3.848806100337488e-05, 1.7831884016726787e-05]",42.97590136528015
7,32,32,32,0.005750061181714151,2.870387441577293e-06,0.665,"[0.3383673469387755, 0.4506122448979592, 0.4976326530612245, 0.4785714285714286, 0.5740612244897959, 0.5786530612244898, 0.608326530612245, 0.624, 0.6363061224489795, 0.6403877551020408]","[0.349, 0.473, 0.506, 0.54, 0.586, 0.594, 0.624, 0.638, 0.657, 0.665]","[0.005750061181714151, 0.0056093471688396035, 0.005200979198208297, 0.004564931172052581, 0.0037634639027797592, 0.002875030590857076, 0.0019865972789343935, 0.0011851300096615718, 0.0005490819835058555, 0.00014071401287454844]",25.850863456726074
8,32,32,64,0.00016359717890244245,5.633802287985607e-05,0.671,"[0.4735918367346939, 0.5178571428571429, 0.5752448979591837, 0.5937142857142857, 0.6127551020408163, 0.6243673469387755, 0.6308163265306123, 0.6375102040816326, 0.6427142857142857, 0.6421224489795918]","[0.514, 0.546, 0.589, 0.613, 0.645, 0.654, 0.662, 0.671, 0.666, 0.67]","[0.00016359717890244245, 0.0001595936709725572, 0.00014797503843315852, 0.00012987859398897575, 0.00010707574370754791, 8.179858945122124e-05, 5.6521435194894576e-05, 3.371858491346674e-05, 1.562214046928396e-05, 4.003507929885273e-06]",28.882237911224365
9,32,32,64,0.006287872142108776,1.537496213245957e-05,0.539,"[0.2720204081632653, 0.3311428571428571, 0.35038775510204084, 0.38385714285714284, 0.3932040816326531, 0.4244081632653061, 0.45218367346938776, 0.4849387755102041, 0.5048367346938776, 0.5216326530612245]","[0.282, 0.337, 0.354, 0.407, 0.416, 0.447, 0.496, 0.518, 0.522, 0.539]","[0.006287872142108776, 0.006133996958246047, 0.00568743378176579, 0.004991895327770498, 0.004115465746238596, 0.0031439360710543876, 0.00217240639587018, 0.0012959768143382781, 0.0006004383603429861, 0.00015387518386272947]",30.38317036628723
